DEBUG:2018-09-15 23:18:25,725 class Data called.
INFO:2018-09-15 23:19:20,578 a controller button was pressed
INFO:2018-09-15 23:19:20,578 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:20,578 image count now set to 30.  There are 59 total images
INFO:2018-09-15 23:19:20,768 a controller button was pressed
INFO:2018-09-15 23:19:20,768 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:20,768 image count now set to 31.  There are 59 total images
INFO:2018-09-15 23:19:20,996 a controller button was pressed
INFO:2018-09-15 23:19:20,996 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:20,996 image count now set to 32.  There are 59 total images
INFO:2018-09-15 23:19:21,225 a controller button was pressed
INFO:2018-09-15 23:19:21,225 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:21,225 image count now set to 33.  There are 59 total images
INFO:2018-09-15 23:19:21,377 a controller button was pressed
INFO:2018-09-15 23:19:21,377 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:21,377 image count now set to 34.  There are 59 total images
INFO:2018-09-15 23:19:21,567 a controller button was pressed
INFO:2018-09-15 23:19:21,567 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:21,567 image count now set to 35.  There are 59 total images
INFO:2018-09-15 23:19:21,719 a controller button was pressed
INFO:2018-09-15 23:19:21,719 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:21,719 image count now set to 36.  There are 59 total images
INFO:2018-09-15 23:19:21,909 a controller button was pressed
INFO:2018-09-15 23:19:21,909 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:21,909 image count now set to 37.  There are 59 total images
INFO:2018-09-15 23:19:22,062 a controller button was pressed
INFO:2018-09-15 23:19:22,062 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:22,062 image count now set to 38.  There are 59 total images
INFO:2018-09-15 23:19:22,214 a controller button was pressed
INFO:2018-09-15 23:19:22,214 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:22,214 image count now set to 39.  There are 59 total images
INFO:2018-09-15 23:19:22,404 a controller button was pressed
INFO:2018-09-15 23:19:22,404 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:22,404 image count now set to 40.  There are 59 total images
INFO:2018-09-15 23:19:22,556 a controller button was pressed
INFO:2018-09-15 23:19:22,556 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:22,556 image count now set to 41.  There are 59 total images
INFO:2018-09-15 23:19:22,745 a controller button was pressed
INFO:2018-09-15 23:19:22,745 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:22,745 image count now set to 42.  There are 59 total images
INFO:2018-09-15 23:19:22,936 a controller button was pressed
INFO:2018-09-15 23:19:22,936 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:22,936 image count now set to 43.  There are 59 total images
INFO:2018-09-15 23:19:23,355 a controller button was pressed
INFO:2018-09-15 23:19:23,355 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:23,355 image count now set to 44.  There are 59 total images
INFO:2018-09-15 23:19:23,774 a controller button was pressed
INFO:2018-09-15 23:19:23,774 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:23,774 image count now set to 45.  There are 59 total images
INFO:2018-09-15 23:19:24,000 a controller button was pressed
INFO:2018-09-15 23:19:24,000 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:24,000 image count now set to 46.  There are 59 total images
INFO:2018-09-15 23:19:24,190 a controller button was pressed
INFO:2018-09-15 23:19:24,190 Controller button 5 pressed.
DEBUG:2018-09-15 23:19:24,190 image count now set to 47.  There are 59 total images
